CustomerID,Age,Income,Education_Level,Marital_Status,Kidhome,Teenhome,Customer_Days,Recency,Complain,Z_CostContact,Z_Revenue,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Response
CUST_0001,63,58138,Graduation,Single,0,0,2822,58,0,3,11,635,88,546,172,88,88,1529,1441,3,8,10,4,7,0,0,0,0,0,0,1
CUST_0002,66,46344,Graduation,Single,1,1,2272,38,0,3,11,11,1,6,2,1,6,21,15,2,1,1,2,5,0,0,0,0,0,0,0
CUST_0003,55,71613,Graduation,Together,0,0,2471,26,0,3,11,426,49,127,111,21,42,734,692,1,8,2,10,4,0,0,0,0,0,0,0
CUST_0004,36,26646,Graduation,Together,1,0,2298,26,0,3,11,11,4,20,10,3,5,48,43,2,2,0,4,6,0,0,0,0,0,0,0
CUST_0005,39,58293,PhD,Married,1,0,2320,94,0,3,11,173,43,118,46,27,15,407,392,5,5,3,6,5,0,0,0,0,0,0,0
CUST_0006,53,62513,Master,Together,0,1,2452,16,0,3,11,520,42,98,0,42,14,702,688,2,6,4,10,6,0,0,0,0,0,0,0
CUST_0007,49,55635,Graduation,Divorced,0,1,2752,34,0,3,11,235,65,164,50,49,27,563,536,4,7,3,7,6,0,0,0,0,0,0,0
CUST_0008,35,33454,PhD,Married,1,0,2576,32,0,3,11,76,10,56,3,1,23,146,123,2,4,0,4,8,0,0,0,0,0,0,0
CUST_0009,46,30351,PhD,Together,1,0,2547,19,0,3,11,14,0,24,3,3,2,44,42,1,3,0,2,9,0,0,0,0,0,0,1
CUST_0010,70,5648,PhD,Together,1,1,2267,68,0,3,11,28,0,6,1,1,13,36,23,1,1,0,0,20,0,0,1,0,0,1,0
CUST_0011,44,7500,Basic,Married,0,0,2752,59,0,3,11,6,16,11,11,1,16,45,29,1,2,0,3,8,0,0,0,0,0,0,0
CUST_0012,61,63033,Graduation,Divorced,0,0,2385,82,0,3,11,194,61,480,225,112,30,1072,1042,1,3,4,8,2,0,0,0,0,0,0,0
CUST_0013,68,59354,Master,Divorced,1,1,2385,53,0,3,11,233,2,53,3,5,14,296,282,3,6,1,5,6,0,0,0,0,0,0,0
CUST_0014,33,17323,Graduation,Married,0,0,2786,38,0,3,11,3,14,17,6,1,5,41,36,1,1,0,3,8,0,0,0,0,0,0,0
CUST_0015,74,82800,PhD,Single,0,0,2741,23,0,3,11,1006,22,115,59,68,45,1270,1225,1,7,6,12,3,1,0,0,0,1,2,1
CUST_0016,40,41850,Graduation,Married,1,1,2711,51,0,3,11,53,5,19,2,13,4,92,88,3,3,0,3,8,0,0,0,0,0,0,0
CUST_0017,74,37760,Graduation,Together,0,0,2826,20,0,3,11,84,5,38,150,12,28,289,261,2,4,1,6,7,0,0,0,0,0,0,0
CUST_0018,71,76995,Master,Married,0,1,2617,91,0,3,11,1012,80,498,0,16,176,1606,1430,2,11,4,9,5,1,0,0,0,0,1,0
CUST_0019,35,33812,2n Cycle,Single,1,0,2762,86,0,3,11,4,17,19,30,24,39,94,55,2,2,1,3,6,0,0,0,0,0,0,0
CUST_0020,38,37040,Graduation,Married,0,0,2849,41,0,3,11,86,2,73,69,38,48,268,220,1,4,2,5,8,0,0,0,0,0,0,0
CUST_0021,41,2447,Graduation,Married,1,0,2698,42,0,3,11,1,1,1725,1,1,1,1729,1728,15,0,28,0,1,0,0,0,0,0,0,0
CUST_0022,71,58607,PhD,Married,0,1,2712,63,0,3,11,867,0,86,0,0,19,953,934,3,2,3,9,8,0,0,0,1,0,1,0
CUST_0023,66,65324,PhD,Married,0,1,2328,0,0,3,11,384,0,102,21,32,5,539,534,3,6,2,9,4,0,0,0,0,0,0,0
CUST_0024,69,40689,Graduation,Together,0,1,2627,69,0,3,11,270,3,27,39,6,99,345,246,7,7,1,5,8,0,0,0,0,0,0,0
CUST_0025,51,18589,Graduation,Single,0,0,2702,89,0,3,11,6,4,25,15,12,13,62,49,2,2,1,3,7,0,0,0,0,0,0,0
CUST_0026,44,53359,Graduation,Married,1,1,2557,4,0,3,11,173,4,30,3,6,41,216,175,4,5,1,4,7,0,0,0,0,0,0,0
CUST_0027,31,38360,Graduation,Married,1,0,2553,26,0,3,11,36,2,42,20,21,10,121,111,2,2,1,4,3,0,0,0,0,0,0,0
CUST_0028,55,84618,PhD,Married,0,0,2378,96,0,3,11,684,100,801,21,66,0,1672,1672,1,6,9,10,2,0,0,0,0,1,1,0
CUST_0029,31,10979,Master,Divorced,0,0,2197,34,0,3,11,8,4,10,2,2,4,26,22,2,3,0,3,5,0,0,0,0,0,0,0
CUST_0030,57,38620,Master,Together,0,0,2573,56,0,3,11,112,17,44,34,22,89,229,140,1,2,5,3,3,0,0,0,0,0,0,0
CUST_0031,50,40548,Graduation,Together,0,1,2786,31,0,3,11,110,0,5,2,0,3,117,114,2,2,1,4,5,0,0,0,1,0,1,0
CUST_0032,68,46610,PhD,Divorced,0,2,2767,8,0,3,11,96,12,96,33,22,43,259,216,6,4,1,6,6,0,0,0,0,0,0,1
CUST_0033,74,68657,Master,Married,0,0,2653,4,0,3,11,482,34,471,119,68,22,1174,1152,1,3,5,9,7,0,0,0,0,0,0,0
CUST_0034,69,49389,Master,Single,1,1,2463,55,0,3,11,40,0,19,2,1,3,62,59,1,2,0,3,7,0,0,0,0,0,0,0
