Unnamed: 0,rank,asin,product_title,product_price,product_star_rating,product_num_ratings,product_url,product_photo,rank_change_label,country,page,price_numeric,currency,product_price_original,price_numeric_original,price_usd,price_category,rating_category,popularity_category,product_category,product_title_clean,product_version,popularity_weighted_score,price_efficiency,popularity_percentile
0,1,B073VKKNN9,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,₹469.00,4.3,13324.0,https://www.amazon.in/dp/B073VKKNN9,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg",,IN,1,469.0,INR,₹469.00,469.0,5.628,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,Unknown,40.8388081708464,0.7626818020574672,69.43561415394235
1,2,B07PQZJ6Y8,"K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd",₹370.00,4.4,2291.0,https://www.amazon.in/dp/B07PQZJ6Y8,"https://images-eu.ssl-images-amazon.com/images/I/51HB079HbPS._AC_UL900_SR900,600_.jpg",,IN,1,370.0,INR,₹370.00,370.0,4.44,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd",Unknown,34.04359234247237,0.9887640449438203,11.939131794257127
2,3,B0D1KL34JM,Microsoft Office 2021 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD - Email Bind Key,"₹1,799.00",4.5,388.0,https://www.amazon.in/dp/B0D1KL34JM,"https://images-eu.ssl-images-amazon.com/images/I/51kuNOifu-L._AC_UL900_SR900,600_.jpg",,IN,1,1799.0,INR,"₹1,799.00",1799.0,21.588,Economy ($10 - $30),Excellent (4.5+),High (200-999),Office/Productivity,Microsoft Office 2021 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD - Email Bind Key,2021,26.836107046283008,0.20835262524307804,2.021991766116004
3,4,B07B9YYLGG,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",₹94.00,4.1,9630.0,https://www.amazon.in/dp/B07B9YYLGG,"https://images-eu.ssl-images-amazon.com/images/I/81lZybDFjpL._AC_UL900_SR900,600_.jpg",,IN,1,94.0,INR,₹94.00,94.0,1.1280000000000001,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,37.60824360039954,3.6028119507908603,50.18500182396165
4,5,B073VLGMZ4,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori","₹1,699.00",4.4,5783.0,https://www.amazon.in/dp/B073VLGMZ4,"https://images-eu.ssl-images-amazon.com/images/I/51WS+IgtDKL._AC_UL900_SR900,600_.jpg",,IN,1,1699.0,INR,"₹1,699.00",1699.0,20.388,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori",2025,38.11654336088984,0.21570742229630355,30.137057689301162
5,6,B073VLNGJW,"Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",₹599.00,4.4,12973.0,https://www.amazon.in/dp/B073VLNGJW,"https://images-eu.ssl-images-amazon.com/images/I/81JA0Rnl38L._AC_UL900_SR900,600_.jpg",,IN,1,599.0,INR,₹599.00,599.0,7.188,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,41.67109158860121,0.611280911364268,67.60644119026526
6,7,B0CMJBCHQR,Microsoft Office 2019 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD,"₹1,199.00",4.3,1080.0,https://www.amazon.in/dp/B0CMJBCHQR,"https://images-eu.ssl-images-amazon.com/images/I/317r8dRWUgL._AC_UL900_SR900,600_.jpg",,IN,1,1199.0,INR,"₹1,199.00",1199.0,14.388,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Office/Productivity,Microsoft Office 2019 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD,2019,30.038259815848594,0.29865259063758853,5.628224503621867
7,8,B073VKKNND,"McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin",₹745.00,4.1,7588.0,https://www.amazon.in/dp/B073VKKNND,"https://images-eu.ssl-images-amazon.com/images/I/61a8KDc+otL._AC_UL900_SR900,600_.jpg",,IN,1,745.0,INR,₹745.00,745.0,8.94,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin",2025,36.63126594855604,0.4581005586592179,39.54348845692845
8,9,B09J52ZMNV,Apple - App Store Code - For India - Delivered via Email,"₹5,000.00",3.6,279.0,https://www.amazon.in/dp/B09J52ZMNV,"https://images-eu.ssl-images-amazon.com/images/I/31uSyIDu8yL._AC_UL900_SR900,600_.jpg",,IN,1,5000.0,INR,"₹5,000.00",5000.0,60.0,Mid-Range ($30 - $100),Average (3.0-3.9),High (200-999),Other,Apple - App Store Code - For India - Delivered via Email,Unknown,20.2852425714093,0.05999000166638894,1.4539579967689822
9,10,B0F2F12QLT,"Bitdefender 1 User, 3 Years- Total Security | Windows Latest Version | (Single Activation Code)- [Email Delivery in 2 hours -",₹599.00,4.5,84.0,https://www.amazon.in/dp/B0F2F12QLT,"https://images-eu.ssl-images-amazon.com/images/I/81s2ZQrBiRL._AC_UL900_SR900,600_.jpg",,IN,1,599.0,INR,₹599.00,599.0,7.188,Budget (< $10),Excellent (4.5+),Medium (50-199),Security/Antivirus,"Bitdefender 1 User, 3 Years- Total Security | Windows Latest Version | (Single Activation Code)- [Email Delivery in 2 hours -",Unknown,19.991930654206424,0.6251736593498194,0.43775079472614514
