product_title_clean,product_category,country_name,price_usd,product_star_rating,product_num_ratings,popularity_weighted_score
Microsoft Office Home 2024 | Aktivierungscode per E-Mail,Office/Productivity,Germany,12958.92,4.1,19189.0,40.434792814907155
Microsoft 365 Family | 1 Jahr | bis zu 6 Personen | Office Apps mit KI | bis zu 6 TB Cloudspeicher | Amazon Abonnement mit au,Office/Productivity,Germany,11770.92,4.1,19189.0,40.434792814907155
Microsoft 365 Single | 1 Jahr | 1 Person | Office Apps mit KI | 1 TB Cloudspeicher | Abo mit automatischer Verlängerung,Office/Productivity,Germany,9178.92,4.1,19189.0,40.434792814907155
Microsoft 365 Family | 1 Jahr | bis zu 6 Personen | Office Apps mit KI | bis zu 6 TB Cloudspeicher | Aktivierungscode per E-M,Office/Productivity,Germany,3191.94,4.1,19189.0,40.434792814907155
Microsoft 365 Single | 1 Jahr | 1 Person | Office Apps mit KI | 1 TB Cloudspeicher | Aktivierungscode per E-Mail,Office/Productivity,Germany,3191.94,4.1,19189.0,40.434792814907155
"McAfee Antivirus 2024 | 1 Device, 1 Year | Antivirus Internet Security Software| Email Delivery",Security/Antivirus,India,4.788,4.1,17965.0,40.16456908333552
"McAfee Antivirus 2024 | 1 Device, 3 Year | Antivirus Internet Security Software | Email Delivery",Security/Antivirus,India,9.0,4.2,16839.0,40.87235160874453
"[Old Version] TurboTax Deluxe 2023, Federal & State Tax Return [PC/Mac Download]",Tax Software,United States,69.99,4.4,16323.0,42.681723464713066
"[Old Version] TurboTax Deluxe 2023, Federal & State Tax Return [PC/Mac Disc]",Tax Software,United States,56.69,4.4,16323.0,42.681723464713066
"Norton 360 Deluxe 2025, Antivirus software for 5 Devices with Auto-Renewal – Includes Advanced AI Scam Protection, VPN, Dark",Security/Antivirus,United States,24.99,4.0,15600.0,38.620361174989
"WISO Steuer 2025 (für Steuerjahr 2024) Für Windows, Mac, Smartphones und Tablets | Digitaler Download",Operating System,Germany,2752.92,4.8,15190.0,46.21660044579678
"WISO Steuer 2024 (für Steuerjahr 2023) Für Windows, Mac, Smartphones und Tablets | Aktivierungscode per Email",Operating System,Germany,2806.92,4.8,15190.0,46.21660044579678
"WISO Steuer 2025 (für Steuerjahr 2024) | Für Windows, Mac, Smartphones und Tablets | Standardverpackung",Operating System,Germany,2785.32,4.8,15190.0,46.21660044579678
"WISO Steuer 2024 (für Steuerjahr 2023), Für Windows, Mac, Smartphones und Tablets, Standardverpackung",Operating System,Germany,2806.92,4.8,15190.0,46.21660044579678
"WISO Steuer 2025 (für Steuerjahr 2024) Für Windows, Mac, Smartphones und Tablets | Digitaler Download | Amazon Exklusiv",Operating System,Germany,3778.92,4.8,15190.0,46.21660044579678
"WISO Steuer 2025 (für Steuerjahr 2024)|Für Windows, Mac, Smartphones und Tablets|frustfreie Verpackung | Amazon Exklusiv",Operating System,Germany,3406.32,4.8,15190.0,46.21660044579678
"WISO Steuer 2024 (für Steuerjahr 2023), Für Windows, Mac, Smartphones und Tablets, frustfreie Verpackung",Operating System,Germany,3154.6800000000003,4.8,15190.0,46.21660044579678
Quick Heal | Total Security | 1 User | 3 Years | AI Based Device Security for PC | Banking Protection | Parental Control| (Em,Security/Antivirus,India,27.504,4.4,14912.0,42.283949816956245
Quick Heal | Total Security | 1 User | 1 Year | AI Based Device Security for Windows PC | Banking and Browsing Protection | D,Security/Antivirus,India,14.184000000000001,4.4,14912.0,42.283949816956245
Quick Heal | Total Security | 2 Users | 3 Years | AI Based Device Security for Windows PC | Banking and Browsing Protection |,Security/Antivirus,India,34.428,4.4,14912.0,42.283949816956245
"Quick Heal Total Security - 2 PCs, 1 Year | AI Based Device Security for Windows PC | Banking and Browsing Protection | Dark",Security/Antivirus,India,17.556,4.4,14912.0,42.283949816956245
"TurboTax Deluxe 2024 Tax Software, Federal & State Tax Return [PC/MAC Download]",Tax Software,United States,79.99,4.3,13491.0,40.892364443580625
Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,Security/Antivirus,India,5.628,4.3,13324.0,40.8388081708464
"Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",Security/Antivirus,India,7.188,4.4,12973.0,41.67109158860121
