product_sk,asin,product_title,product_title_clean,product_version,product_category,product_url,product_photo
1,B073VKKNN9,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,Unknown,Security/Antivirus,https://www.amazon.in/dp/B073VKKNN9,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg"
2,B07PQZJ6Y8,"K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd","K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd",Unknown,Security/Antivirus,https://www.amazon.in/dp/B07PQZJ6Y8,"https://images-eu.ssl-images-amazon.com/images/I/51HB079HbPS._AC_UL900_SR900,600_.jpg"
3,B0D1KL34JM,Microsoft Office 2021 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD - Email Bind Key,Microsoft Office 2021 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD - Email Bind Key,2021,Office/Productivity,https://www.amazon.in/dp/B0D1KL34JM,"https://images-eu.ssl-images-amazon.com/images/I/51kuNOifu-L._AC_UL900_SR900,600_.jpg"
4,B07B9YYLGG,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |","Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,Security/Antivirus,https://www.amazon.in/dp/B07B9YYLGG,"https://images-eu.ssl-images-amazon.com/images/I/81lZybDFjpL._AC_UL900_SR900,600_.jpg"
5,B073VLGMZ4,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori","McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori",2025,Security/Antivirus,https://www.amazon.in/dp/B073VLGMZ4,"https://images-eu.ssl-images-amazon.com/images/I/51WS+IgtDKL._AC_UL900_SR900,600_.jpg"
6,B073VLNGJW,"Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |","Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,Security/Antivirus,https://www.amazon.in/dp/B073VLNGJW,"https://images-eu.ssl-images-amazon.com/images/I/81JA0Rnl38L._AC_UL900_SR900,600_.jpg"
7,B0CMJBCHQR,Microsoft Office 2019 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD,Microsoft Office 2019 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD,2019,Office/Productivity,https://www.amazon.in/dp/B0CMJBCHQR,"https://images-eu.ssl-images-amazon.com/images/I/317r8dRWUgL._AC_UL900_SR900,600_.jpg"
8,B073VKKNND,"McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin","McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin",2025,Security/Antivirus,https://www.amazon.in/dp/B073VKKNND,"https://images-eu.ssl-images-amazon.com/images/I/61a8KDc+otL._AC_UL900_SR900,600_.jpg"
9,B09J52ZMNV,Apple - App Store Code - For India - Delivered via Email,Apple - App Store Code - For India - Delivered via Email,Unknown,Other,https://www.amazon.in/dp/B09J52ZMNV,"https://images-eu.ssl-images-amazon.com/images/I/31uSyIDu8yL._AC_UL900_SR900,600_.jpg"
10,B0F2F12QLT,"Bitdefender 1 User, 3 Years- Total Security | Windows Latest Version | (Single Activation Code)- [Email Delivery in 2 hours -","Bitdefender 1 User, 3 Years- Total Security | Windows Latest Version | (Single Activation Code)- [Email Delivery in 2 hours -",Unknown,Security/Antivirus,https://www.amazon.in/dp/B0F2F12QLT,"https://images-eu.ssl-images-amazon.com/images/I/81s2ZQrBiRL._AC_UL900_SR900,600_.jpg"
