fact_software_sales_id,product_sk,country_sk,price_category_sk,rating_category_sk,popularity_category_sk,price_usd,price_numeric,currency,product_star_rating,product_num_ratings,popularity_weighted_score,price_efficiency,popularity_percentile,page,rank
1,1,1,1.0,3,5,5.628,469.0,INR,4.3,13324.0,40.8388081708464,0.7626818020574672,69.43561415394235,1,1
2,2,1,1.0,3,5,4.44,370.0,INR,4.4,2291.0,34.04359234247237,0.9887640449438203,11.939131794257127,1,2
3,3,1,2.0,4,4,21.588,1799.0,INR,4.5,388.0,26.836107046283008,0.20835262524307804,2.021991766116004,1,3
4,4,1,1.0,3,5,1.1280000000000001,94.0,INR,4.1,9630.0,37.60824360039954,3.6028119507908603,50.18500182396165,1,4
5,5,1,2.0,3,5,20.388,1699.0,INR,4.4,5783.0,38.11654336088984,0.21570742229630355,30.137057689301162,1,5
6,6,1,1.0,3,5,7.188,599.0,INR,4.4,12973.0,41.67109158860121,0.611280911364268,67.60644119026526,1,6
7,7,1,2.0,3,5,14.388,1199.0,INR,4.3,1080.0,30.038259815848594,0.29865259063758853,5.628224503621867,1,7
8,8,1,1.0,3,5,8.94,745.0,INR,4.1,7588.0,36.63126594855604,0.4581005586592179,39.54348845692845,1,8
9,9,1,3.0,2,4,60.0,5000.0,INR,3.6,279.0,20.2852425714093,0.05999000166638894,1.4539579967689822,1,9
10,10,1,1.0,4,3,7.188,599.0,INR,4.5,84.0,19.991930654206424,0.6251736593498194,0.43775079472614514,1,10
11,11,1,2.0,3,5,11.988,999.0,INR,4.4,8075.0,39.58526870950401,0.3667277879646608,42.08140080254312,1,11
12,12,1,1.0,3,5,2.7,225.0,INR,4.2,4631.0,35.45112488086189,1.5498154981549817,24.133618218771172,1,12
13,13,1,1.0,3,5,4.788,399.0,INR,4.1,17965.0,40.16456908333552,0.8545227177990828,93.62134556256188,1,13
14,14,1,1.0,3,4,5.448,454.0,INR,4.2,239.0,23.018683478036365,0.7695126419934042,1.2455052373755797,1,14
15,15,1,1.0,3,5,9.0,750.0,INR,4.2,16839.0,40.87235160874453,0.4661487236403996,87.7534003856376,1,15
16,16,1,2.0,3,2,10.788,899.0,INR,4.2,18.0,12.36664371249905,0.3889609186886461,0.09380374172703111,1,16
17,17,1,1.0,3,5,3.612,301.0,INR,4.2,4470.0,35.30254298018272,1.1595803423522917,23.294595862212724,1,17
18,18,1,2.0,3,5,22.428,1869.0,INR,4.4,8418.0,39.76828387548573,0.19609590872626792,43.86888321434155,1,18
19,19,1,1.0,3,5,8.700000000000001,725.0,INR,4.4,2402.0,34.251682237240466,0.505166475315729,12.517588201573817,1,19
20,20,1,1.0,3,5,2.388,199.0,INR,4.2,11906.0,39.41650331409493,1.7514595496246876,62.04596383344625,1,20
21,21,1,1.0,3,5,3.84,320.0,INR,4.4,12973.0,41.67109158860121,1.142857142857143,67.60644119026526,1,21
22,22,1,3.0,3,5,67.188,5599.0,INR,4.4,2617.0,34.62873016446732,0.06547813923033423,13.638021783313356,1,22
23,23,1,2.0,4,4,10.776,898.0,INR,4.6,704.0,30.167709892936436,0.4264787687743371,3.6687685653238837,1,23
24,24,1,2.0,3,5,20.388,1699.0,INR,4.4,1253.0,31.390012373248613,0.21570742229630355,6.529782687998333,1,24
25,25,1,1.0,3,5,1.788,149.0,INR,4.0,2009.0,30.423560004212487,2.2246941045606228,10.469539840533638,1,25
26,26,1,1.0,3,5,5.628,469.0,INR,4.3,9953.0,39.584637965499546,0.7626818020574672,51.86825785606337,1,26
27,27,1,1.0,4,4,8.988,749.0,INR,4.6,820.0,30.868406303481166,0.5112247166036897,4.273281567564751,1,27
28,28,1,2.0,3,5,27.504,2292.0,INR,4.4,14912.0,42.283949816956245,0.1599185869012139,77.71118870186045,1,28
29,29,1,2.0,4,2,26.388,2199.0,INR,5.0,4.0,8.047189562170502,0.18940828850670502,0.020845275939340248,1,29
30,30,1,1.0,3,4,6.0,500.0,INR,4.4,442.0,26.811706988198598,0.7321131447587356,2.3034029912970975,1,30
31,31,1,2.0,3,5,14.184000000000001,1182.0,INR,4.4,14912.0,42.283949816956245,0.3099901366774694,77.71118870186045,1,31
32,32,1,3.0,3,5,87.58800000000001,7299.0,INR,4.3,4923.0,36.558068895408674,0.0490878787186922,25.655323362343008,1,32
33,33,1,2.0,3,5,10.776,898.0,INR,4.4,12973.0,41.67109158860121,0.4079362136102355,67.60644119026526,1,33
34,34,1,3.0,3,5,34.428,2869.0,INR,4.4,14912.0,42.283949816956245,0.12776584006039843,77.71118870186045,1,34
35,35,1,1.0,3,5,5.448,454.0,INR,4.3,12850.0,40.683060705720706,0.7878343715646756,66.96544895513054,1,35
36,36,1,2.0,3,5,11.268,939.0,INR,4.4,8418.0,39.76828387548573,0.39014009576165987,43.86888321434155,1,36
37,37,1,1.0,3,5,4.776,398.0,INR,4.2,1207.0,29.806229789677996,0.8775595486836608,6.29006201469592,1,37
38,38,1,2.0,4,4,15.588000000000001,1299.0,INR,4.6,406.0,27.640540653035934,0.29490960379535835,2.115795507843035,1,38
39,39,1,2.0,3,2,23.988,1999.0,INR,4.4,11.0,10.933589259067203,0.18334861238436537,0.05732450883318568,1,39
40,40,1,2.0,3,5,10.068,839.0,INR,4.3,3593.0,35.20419058957707,0.42667195872196867,18.724269112512378,1,40
41,41,1,1.0,3,4,9.588000000000001,799.0,INR,4.3,353.0,25.237976726475228,0.4480100020837674,1.839595601646777,1,41
42,42,1,2.0,2,2,23.988,1999.0,INR,3.4,6.0,6.616094506788065,0.1416784732061005,0.03126791390901037,1,42
43,43,1,1.0,2,2,4.14,345.0,INR,3.6,3.0,4.990659700031606,0.8674698795180724,0.015633956954505184,1,43
44,44,1,1.0,3,4,3.96,330.0,INR,4.3,825.0,28.881357526140203,1.0831234256926952,4.299338162488926,1,44
45,45,1,2.0,4,2,11.388,949.0,INR,5.0,34.0,17.776740307447067,0.4386734514827163,0.1771848454843921,1,45
46,46,1,1.0,3,4,3.36,280.0,INR,4.2,921.0,28.671489938937697,1.2462908011869438,4.7996247850330915,1,46
47,47,1,1.0,3,3,3.948,329.0,INR,4.1,76.0,17.809602229600102,1.035876705406771,0.3960602428474647,1,47
48,48,1,4.0,1,2,120.0,10000.0,INR,2.7,28.0,9.09169874096348,0.022498125156236982,0.14591693157538174,1,48
49,49,1,2.0,4,2,10.788,899.0,INR,5.0,5.0,8.958797346140274,0.46304871272457865,0.02605659492417531,1,49
50,50,1,1.0,3,5,8.700000000000001,725.0,INR,4.2,1137.0,29.555515981682362,0.4822043628013777,5.925269685757465,1,50
51,51,1,2.0,4,5,10.188,849.0,INR,4.5,3304.0,36.464362885286036,0.4412629927436752,17.218197925895044,2,51
52,52,1,1.0,3,4,3.588,299.0,INR,4.3,454.0,26.317278901489086,1.1951083935519733,2.3659388191151183,2,52
53,53,1,1.0,3,5,4.788,399.0,INR,4.2,2533.0,32.91772831570056,0.8753647353063777,13.200270988587212,2,53
54,54,1,1.0,3,3,3.036,253.0,INR,4.2,140.0,20.78479153958831,1.3788575180564677,0.7295846578769086,2,54
55,55,1,1.0,3,4,1.1280000000000001,94.0,INR,4.4,963.0,30.2328016962864,3.866432337434095,5.018500182396164,2,55
56,56,1,3.0,4,3,92.85600000000001,7738.0,INR,4.5,75.0,19.48830003128849,0.048456916417203275,0.3908489238626296,2,56
57,57,1,1.0,2,2,4.74,395.0,INR,3.8,37.0,13.822827406960265,0.7999999999999999,0.1928188024388973,2,57
58,58,1,2.0,4,2,28.788,2399.0,INR,5.0,2.0,5.493061443340549,0.17362316827557467,0.010422637969670124,2,58
59,59,1,1.0,3,3,2.388,199.0,INR,4.1,130.0,19.988309025124718,1.7097581317764805,0.677471468028558,2,59
60,60,1,2.0,3,3,22.788,1899.0,INR,4.4,53.0,17.551529804882808,0.19299938591104482,0.2761999061962583,2,60
61,61,1,2.0,3,5,17.556,1463.0,INR,4.4,14912.0,42.283949816956245,0.25048388933166343,77.71118870186045,2,61
62,62,1,1.0,3,5,8.028,669.0,INR,4.3,12850.0,40.683060705720706,0.5349589450111968,66.96544895513054,2,62
63,63,1,2.0,3,5,17.988,1499.0,INR,4.2,2668.0,33.135728427499004,0.2333592621402378,13.903799051539945,2,63
64,64,1,1.0,3,5,4.74,395.0,INR,4.2,6054.0,36.57628655514621,0.8842105263157896,31.549325134191463,2,64
65,65,1,2.0,3,5,15.924,1327.0,INR,4.3,12850.0,40.683060705720706,0.26986318564076817,66.96544895513054,2,65
66,66,1,2.0,3,4,10.548,879.0,INR,4.2,679.0,27.392789752314638,0.39780261413146434,3.538485590703007,2,66
67,67,1,1.0,3,2,4.548,379.0,INR,4.3,27.0,14.328479393753376,0.9433962264150944,0.14070561259054667,2,67
68,68,1,2.0,4,2,11.388,949.0,INR,4.9,14.0,13.26944598540083,0.429899982453062,0.07295846578769087,2,68
69,69,1,2.0,3,3,27.588,2299.0,INR,4.4,105.0,20.519132014093096,0.15943184288716575,0.5471884934076815,2,69
70,70,1,1.0,2,5,4.548,379.0,INR,3.9,4180.0,32.5193923522906,0.8556384379113646,21.78331335661056,2,70
71,71,1,2.0,4,2,19.188,1599.0,INR,5.0,2.0,5.493061443340549,0.26044379622877384,0.010422637969670124,2,71
72,72,1,2.0,3,4,11.988,999.0,INR,4.3,699.0,28.169645440686637,0.3583930655109185,3.6427119703997084,2,72
73,73,1,1.0,3,4,2.1,175.0,INR,4.1,789.0,27.355335076390375,1.943127962085308,4.1117306790348636,2,73
74,74,1,1.0,4,2,4.776,398.0,INR,4.5,2.0,4.943755299006494,0.9402423735896365,0.010422637969670124,2,74
75,75,1,3.0,4,2,58.788000000000004,4899.0,INR,4.7,6.0,9.145777700559973,0.07993469165617878,0.03126791390901037,2,75
76,76,1,3.0,3,5,32.148,2679.0,INR,4.3,5650.0,37.15022753840832,0.13371478325766525,29.443952264318096,2,76
77,77,1,3.0,4,2,39.588,3299.0,INR,5.0,3.0,6.931471805599453,0.1262690034850245,0.015633956954505184,2,77
78,78,1,1.0,4,5,6.0,500.0,INR,4.5,1695.0,33.46212517358332,0.7487520798668885,8.833185679295429,2,78
79,79,1,1.0,3,5,4.788,399.0,INR,4.1,2288.0,31.717068311805523,0.8545227177990828,11.923497837302621,2,79
80,80,1,1.0,3,3,2.148,179.0,INR,4.1,63.0,17.05142064177465,1.8999073215940685,0.3283130960446089,2,80
81,81,1,3.0,3,4,35.652,2971.0,INR,4.3,649.0,27.850981160425633,0.12057652403118164,3.382146021157955,2,81
82,82,1,1.0,4,3,6.0,500.0,INR,4.5,81.0,19.83023661268914,0.7487520798668885,0.42211683777164,2,82
83,83,1,1.0,3,3,5.976,498.0,INR,4.2,123.0,20.245182575541158,0.701637153357835,0.6409922351347126,2,83
84,84,1,1.0,3,4,5.988,499.0,INR,4.2,457.0,25.73285057327958,0.7002334111370457,2.3815727760696235,2,84
85,85,1,2.0,3,4,23.52,1960.0,INR,4.3,395.0,25.720081108394265,0.18274543136421587,2.0584709990098493,2,85
86,86,1,1.0,3,4,3.96,330.0,INR,4.4,830.0,29.579571097363974,1.1083123425692696,4.325394757413101,2,86
87,87,1,1.0,3,4,1.92,160.0,INR,4.3,600.0,27.51395821850139,2.227979274611399,3.1267913909010367,2,87
88,88,1,1.0,2,2,4.164,347.0,INR,3.6,3.0,4.990659700031606,0.8624820316243413,0.015633956954505184,2,88
89,89,1,2.0,4,2,10.788,899.0,INR,4.5,36.0,16.24913060689901,0.4167438414521208,0.18760748345406222,2,89
90,90,1,1.0,3,5,3.612,301.0,INR,4.3,8536.0,38.92430922914432,1.1871893981225843,44.48381885455209,2,90
91,91,1,2.0,4,2,13.596,1133.0,INR,5.0,6.0,9.729550745276565,0.36748493311774216,0.03126791390901037,2,91
92,92,1,2.0,3,2,26.388,2199.0,INR,4.0,5.0,7.16703787691222,0.15152663080536402,0.02605659492417531,2,92
93,93,1,1.0,3,5,3.36,280.0,INR,4.0,1157.0,28.21779863253176,1.1869436201780417,6.0294960654541665,2,93
94,94,1,3.0,4,2,87.348,7279.0,INR,4.8,6.0,9.340368715465504,0.054946312873463216,0.03126791390901037,2,94
95,95,1,2.0,4,3,29.508,2459.0,INR,4.6,133.0,22.53006307977419,0.15583711633579508,0.6931054249830632,2,95
96,96,1,1.0,3,4,7.392,616.0,INR,4.2,769.0,27.914840162360463,0.5674142123750338,4.007504299338162,2,96
97,97,1,1.0,3,4,9.108,759.0,INR,4.2,927.0,28.698733277702043,0.46062733055494626,4.830892698942102,2,97
98,98,1,1.0,3,5,3.192,266.0,INR,4.3,1021.0,29.796922114283692,1.3429106808244846,5.320756683516598,2,98
99,99,1,3.0,3,4,48.888,4074.0,INR,4.4,488.0,27.24639495368944,0.0899832303979713,2.54312366459951,2,99
100,100,1,1.0,3,4,2.388,199.0,INR,4.0,988.0,27.58677732649085,1.6680567139282738,5.148783157017041,2,100
101,101,2,4.0,3,5,149.99,149.99,USD,4.0,1069.0,27.901655709823807,0.02666666666666667,5.5708999947886815,1,1
102,102,2,3.0,3,5,79.99,79.99,USD,4.3,13491.0,40.892364443580625,0.05375,70.30590442440982,1,2
103,103,2,2.0,3,5,29.99,29.99,USD,4.1,5283.0,35.14699852913308,0.13666666666666666,27.531398196883632,1,3
104,104,2,2.0,2,4,15.0,15.0,USD,3.4,616.0,21.844554681278318,0.22651565622918055,3.2101724946583983,1,4
105,105,2,4.0,3,5,119.99,119.99,USD,4.0,2010.0,30.42554955909061,0.03333333333333333,10.474751159518474,1,5
106,106,2,2.0,3,5,19.99,19.99,USD,4.3,1776.0,32.175531861065,0.215,9.25530251706707,1,6
107,107,2,4.0,3,5,129.99,129.99,USD,4.3,3557.0,35.160901633370855,0.03307692307692307,18.536661629058315,1,7
108,108,2,4.0,3,5,114.99,114.99,USD,4.2,4866.0,35.658978641300514,0.036521739130434785,25.35827818020741,1,8
109,109,2,2.0,3,5,24.99,24.99,USD,4.0,15600.0,38.620361174989,0.16,81.29657616342696,1,9
110,110,2,3.0,3,5,69.99,69.99,USD,4.4,16323.0,42.681723464713066,0.06285714285714286,85.06435978946271,1,10
111,111,2,2.0,3,5,24.99,24.99,USD,4.1,5844.0,35.56070168301529,0.16399999999999998,30.454948147376097,1,11
112,112,2,3.0,3,5,59.99,59.99,USD,4.2,3400.0,34.15366409703022,0.07,17.71848454843921,1,12
113,113,2,3.0,3,5,99.99,99.99,USD,4.3,11152.0,40.07369433567651,0.043,58.116629318880605,1,13
114,114,2,3.0,3,5,41.95,41.95,USD,4.1,5755.0,35.497792078829754,0.0977121067683508,29.99114075772578,1,14
115,115,2,3.0,2,4,99.0,99.0,USD,3.8,690.0,24.844931330317145,0.03837996162003838,3.5958100995361924,1,15
116,116,2,1.0,3,4,9.99,9.99,USD,4.0,316.0,23.03560709550912,0.4,1.6467767992078794,1,16
