purchase_id,customer_id,product_id,purchase_date,quantity,total_amount,channel
1,CUST_0000,1,2025-12-11,3,103.25,Catalog
2,CUST_0000,1,2025-11-28,1,98.83,Store
3,CUST_0000,1,2025-12-24,1,89.09,Catalog
4,CUST_0000,1,2026-01-14,2,87.97,Store
5,CUST_0000,1,2025-11-29,4,105.51,Store
6,CUST_0000,1,2025-12-31,3,95.81,Catalog
7,CUST_0000,1,2025-12-02,2,112.2,Web
8,CUST_0000,2,2025-12-25,2,88.0,Catalog
9,CUST_0000,3,2026-01-08,4,105.69,Store
10,CUST_0000,3,2025-12-23,3,96.96,Web
11,CUST_0000,3,2025-12-27,4,76.08,Store
12,CUST_0000,3,2025-12-18,2,115.98,Store
13,CUST_0000,3,2026-01-02,4,97.3,Web
14,CUST_0000,3,2026-01-10,3,107.44,Catalog
15,CUST_0000,4,2026-01-17,1,75.48,Catalog
16,CUST_0000,4,2025-12-09,5,98.66,Catalog
17,CUST_0000,5,2025-12-07,4,88.0,Web
18,CUST_0000,6,2025-12-02,3,88.0,Catalog
19,CUST_0001,1,2026-01-14,3,11.0,Store
20,CUST_0001,2,2025-12-28,2,1.0,Catalog
21,CUST_0001,3,2026-01-07,2,6.0,Catalog
22,CUST_0001,4,2026-01-13,8,2.0,Store
23,CUST_0001,5,2025-12-31,4,1.0,Web
24,CUST_0001,6,2026-01-23,3,6.0,Catalog
25,CUST_0002,1,2026-01-10,3,75.85,Catalog
26,CUST_0002,1,2026-01-20,4,77.59,Web
27,CUST_0002,1,2026-01-04,1,88.52,Web
28,CUST_0002,1,2026-01-05,4,84.28,Catalog
29,CUST_0002,1,2026-01-14,4,71.14,Web
30,CUST_0002,2,2026-01-06,5,49.0,Web
31,CUST_0002,3,2026-01-10,4,127.0,Web
32,CUST_0002,4,2026-01-03,2,111.0,Web
33,CUST_0002,5,2026-01-17,9,21.0,Catalog
34,CUST_0002,6,2025-12-31,4,42.0,Catalog
35,CUST_0003,1,2026-01-06,3,11.0,Catalog
36,CUST_0003,2,2026-01-13,1,4.0,Store
37,CUST_0003,3,2026-01-07,3,20.0,Web
38,CUST_0003,4,2026-01-05,3,10.0,Web
39,CUST_0003,5,2026-01-04,3,3.0,Web
40,CUST_0003,6,2026-01-05,1,5.0,Web
41,CUST_0004,1,2026-01-11,3,105.92,Store
42,CUST_0004,1,2025-12-15,2,97.06,Catalog
43,CUST_0004,2,2025-12-08,4,43.0,Catalog
44,CUST_0004,3,2025-12-29,4,118.0,Store
45,CUST_0004,4,2025-11-30,8,46.0,Catalog
46,CUST_0004,5,2025-11-17,6,27.0,Store
47,CUST_0004,6,2025-10-31,3,15.0,Web
48,CUST_0005,1,2026-01-21,4,82.35,Catalog
49,CUST_0005,1,2026-01-12,4,101.72,Web
50,CUST_0005,1,2026-01-11,1,72.1,Store
51,CUST_0005,1,2026-01-16,1,107.5,Store
52,CUST_0005,1,2026-01-24,1,95.68,Catalog
53,CUST_0005,1,2026-01-12,3,61.87,Web
54,CUST_0005,2,2026-01-09,5,42.0,Web
55,CUST_0005,3,2026-01-09,3,98.0,Web
56,CUST_0005,5,2026-01-22,1,42.0,Catalog
57,CUST_0005,6,2026-01-09,2,14.0,Store
58,CUST_0006,1,2025-12-25,1,151.81,Store
59,CUST_0006,1,2026-01-06,2,114.25,Web
60,CUST_0006,2,2025-12-27,9,65.0,Web
61,CUST_0006,3,2026-01-12,3,92.52,Web
62,CUST_0006,3,2026-01-20,4,65.45,Web
63,CUST_0006,4,2026-01-12,5,50.0,Store
64,CUST_0006,5,2026-01-01,9,49.0,Catalog
65,CUST_0006,6,2026-01-18,4,27.0,Web
66,CUST_0007,1,2026-01-10,4,76.0,Web
67,CUST_0007,2,2025-12-25,8,10.0,Web
68,CUST_0007,3,2026-01-22,1,56.0,Catalog
69,CUST_0007,4,2026-01-18,4,3.0,Web
70,CUST_0007,5,2026-01-02,2,1.0,Catalog
71,CUST_0007,6,2026-01-01,1,23.0,Store
72,CUST_0008,1,2026-01-20,4,14.0,Store
73,CUST_0008,3,2026-01-18,2,24.0,Store
74,CUST_0008,4,2026-01-23,7,3.0,Store
75,CUST_0008,5,2026-01-20,4,3.0,Web
76,CUST_0008,6,2026-01-23,4,2.0,Store
77,CUST_0009,1,2025-11-21,3,28.0,Catalog
78,CUST_0009,3,2026-01-14,3,6.0,Web
79,CUST_0009,4,2025-12-07,8,1.0,Catalog
80,CUST_0009,5,2025-12-08,6,1.0,Web
81,CUST_0009,6,2026-01-21,3,13.0,Web
82,CUST_0010,1,2026-01-01,3,6.0,Catalog
83,CUST_0010,2,2025-12-05,9,16.0,Web
84,CUST_0010,3,2025-12-02,2,11.0,Catalog
85,CUST_0010,4,2025-12-20,7,11.0,Web
86,CUST_0010,5,2026-01-21,7,1.0,Web
87,CUST_0010,6,2025-12-07,3,16.0,Store
88,CUST_0011,1,2026-01-06,4,71.2,Catalog
89,CUST_0011,1,2025-12-17,2,110.75,Web
90,CUST_0011,2,2026-01-01,2,61.0,Web
91,CUST_0011,3,2025-12-08,2,75.69,Web
92,CUST_0011,3,2025-11-17,4,101.59,Store
93,CUST_0011,3,2025-12-22,4,66.32,Web
94,CUST_0011,3,2025-12-01,3,94.31,Catalog
95,CUST_0011,3,2025-11-25,3,60.55,Web
96,CUST_0011,3,2025-12-07,3,96.66,Catalog
97,CUST_0011,4,2025-12-20,3,101.32,Catalog
98,CUST_0011,4,2026-01-08,9,137.26,Store
99,CUST_0011,5,2025-11-27,3,112.0,Catalog
100,CUST_0011,6,2025-12-17,1,30.0,Web
101,CUST_0012,1,2025-12-18,1,103.17,Catalog
102,CUST_0012,1,2025-12-29,2,144.45,Store
103,CUST_0012,2,2026-01-20,8,2.0,Store
104,CUST_0012,3,2026-01-08,1,53.0,Catalog
105,CUST_0012,4,2025-12-28,7,3.0,Store
106,CUST_0012,5,2025-12-23,8,5.0,Web
107,CUST_0012,6,2026-01-22,2,14.0,Web
108,CUST_0013,1,2025-12-22,2,3.0,Web
109,CUST_0013,2,2026-01-07,1,14.0,Catalog
110,CUST_0013,3,2025-12-28,1,17.0,Web
111,CUST_0013,4,2026-01-23,2,6.0,Web
112,CUST_0013,5,2026-01-08,4,1.0,Catalog
113,CUST_0013,6,2026-01-12,3,5.0,Catalog
114,CUST_0014,1,2026-01-22,4,96.99,Web
115,CUST_0014,1,2026-01-14,3,89.04,Catalog
116,CUST_0014,1,2026-01-13,1,84.26,Web
117,CUST_0014,1,2026-01-16,4,60.76,Store
118,CUST_0014,1,2026-01-22,4,63.3,Catalog
119,CUST_0014,1,2026-01-16,1,60.91,Web
120,CUST_0014,1,2026-01-18,3,77.35,Web
121,CUST_0014,1,2026-01-22,1,93.86,Catalog
122,CUST_0014,1,2026-01-09,4,74.5,Catalog
123,CUST_0014,1,2026-01-20,3,60.37,Catalog
124,CUST_0014,1,2026-01-16,3,70.64,Catalog
125,CUST_0014,1,2026-01-13,1,103.07,Store
126,CUST_0014,2,2026-01-18,8,22.0,Web
127,CUST_0014,3,2026-01-12,4,115.0,Web
128,CUST_0014,4,2026-01-24,4,59.0,Store
129,CUST_0014,5,2026-01-06,1,68.0,Catalog
130,CUST_0014,6,2026-01-11,1,45.0,Store
131,CUST_0015,1,2026-01-16,3,53.0,Web
132,CUST_0015,2,2026-01-22,7,5.0,Store
133,CUST_0015,3,2025-12-09,3,19.0,Store
134,CUST_0015,4,2025-12-10,6,2.0,Store
135,CUST_0015,5,2026-01-23,6,13.0,Web
