interaction_id,customer_id,interaction_date,device_type,page_views,session_duration
1,CUST_0000,2026-01-23,Tablet,6,445
2,CUST_0000,2026-01-16,Tablet,5,445
3,CUST_0000,2026-01-07,Desktop,2,587
4,CUST_0000,2026-01-13,Mobile,13,459
5,CUST_0000,2025-12-31,Tablet,10,62
6,CUST_0000,2026-01-06,Mobile,14,574
7,CUST_0000,2026-01-21,Tablet,6,449
8,CUST_0001,2026-01-21,Tablet,10,42
9,CUST_0001,2026-01-05,Desktop,12,88
10,CUST_0001,2026-01-03,Desktop,2,359
11,CUST_0001,2026-01-24,Mobile,9,223
12,CUST_0001,2026-01-11,Tablet,2,156
13,CUST_0002,2025-12-29,Tablet,14,406
14,CUST_0002,2026-01-16,Mobile,14,269
15,CUST_0002,2026-01-22,Tablet,12,294
16,CUST_0002,2026-01-20,Tablet,13,435
17,CUST_0003,2026-01-18,Desktop,6,123
18,CUST_0003,2025-12-26,Desktop,4,60
19,CUST_0003,2026-01-12,Tablet,5,145
20,CUST_0003,2026-01-14,Mobile,13,56
21,CUST_0003,2026-01-19,Tablet,3,397
22,CUST_0003,2026-01-15,Mobile,8,552
23,CUST_0004,2026-01-06,Tablet,5,106
24,CUST_0004,2026-01-14,Tablet,11,104
25,CUST_0004,2026-01-24,Mobile,8,384
26,CUST_0004,2026-01-09,Tablet,11,198
27,CUST_0004,2026-01-14,Mobile,9,54
28,CUST_0005,2026-01-17,Tablet,8,39
29,CUST_0005,2026-01-15,Mobile,4,173
30,CUST_0005,2026-01-05,Tablet,8,480
31,CUST_0005,2025-12-27,Desktop,7,207
32,CUST_0005,2026-01-05,Mobile,13,217
33,CUST_0005,2026-01-01,Tablet,2,169
34,CUST_0006,2025-12-31,Desktop,11,290
35,CUST_0006,2026-01-07,Tablet,7,62
36,CUST_0006,2026-01-12,Desktop,7,65
37,CUST_0006,2026-01-20,Tablet,11,147
38,CUST_0006,2025-12-29,Mobile,9,396
39,CUST_0006,2026-01-16,Tablet,5,145
40,CUST_0007,2026-01-15,Desktop,10,386
41,CUST_0007,2026-01-11,Tablet,6,549
42,CUST_0007,2026-01-14,Desktop,3,449
43,CUST_0007,2026-01-20,Tablet,14,42
44,CUST_0007,2025-12-27,Mobile,11,453
45,CUST_0007,2026-01-10,Tablet,12,535
46,CUST_0007,2026-01-17,Desktop,12,71
47,CUST_0007,2026-01-16,Mobile,8,468
48,CUST_0008,2026-01-15,Tablet,10,567
49,CUST_0008,2025-12-29,Mobile,7,230
50,CUST_0008,2026-01-19,Mobile,10,337
51,CUST_0008,2026-01-02,Mobile,14,397
52,CUST_0008,2025-12-28,Tablet,9,365
53,CUST_0008,2026-01-06,Desktop,10,343
54,CUST_0008,2026-01-19,Tablet,7,43
55,CUST_0008,2026-01-20,Mobile,5,404
