customer_id,total_spent,avg_transaction_value,total_purchases,campaigns_accepted,web_visits_month,days_since_last_purchase,customer_segment,churn_risk,response_rate
CUST_0000,1529,69.5,22,0,7,58,High Value,Medium,1
CUST_0001,21,5.25,4,0,5,38,Low Value,Medium,0
CUST_0002,734,36.7,20,0,4,26,Medium Value,Low,0
CUST_0003,48,8.0,6,0,6,26,Low Value,Low,0
CUST_0004,407,29.07,14,0,5,94,Low Value,High,0
CUST_0005,702,35.1,20,0,6,16,Medium Value,Low,0
CUST_0006,563,33.12,17,0,6,34,Medium Value,Medium,0
CUST_0007,146,18.25,8,0,8,32,Low Value,Medium,0
CUST_0008,44,8.8,5,0,9,19,Low Value,Low,1
CUST_0009,36,36.0,1,1,20,68,Low Value,High,0
CUST_0010,45,9.0,5,0,8,59,Low Value,Medium,0
CUST_0011,1072,71.47,15,0,2,82,High Value,High,0
CUST_0012,296,24.67,12,0,6,53,Low Value,Medium,0
CUST_0013,41,10.25,4,0,8,38,Low Value,Medium,0
CUST_0014,1270,50.8,25,2,3,23,High Value,Low,1
CUST_0015,92,15.33,6,0,8,51,Low Value,Medium,0
CUST_0016,289,26.27,11,0,7,20,Low Value,Low,0
CUST_0017,1606,66.92,24,1,5,91,High Value,High,0
CUST_0018,94,15.67,6,0,6,86,Low Value,High,0
CUST_0019,268,24.36,11,0,8,41,Low Value,Medium,0
CUST_0020,1729,61.75,28,0,1,42,High Value,Medium,0
CUST_0021,953,68.07,14,1,8,63,Medium Value,High,0
CUST_0022,539,31.71,17,0,4,0,Medium Value,Low,0
CUST_0023,345,26.54,13,0,8,69,Low Value,High,0
CUST_0024,62,10.33,6,0,7,89,Low Value,High,0
CUST_0025,216,21.6,10,0,7,4,Low Value,Low,0
CUST_0026,121,17.29,7,0,3,26,Low Value,Low,0
CUST_0027,1672,66.88,25,1,2,96,High Value,High,0
CUST_0028,26,4.33,6,0,5,34,Low Value,Medium,0
CUST_0029,229,22.9,10,0,3,56,Low Value,Medium,0
CUST_0030,117,16.71,7,1,5,31,Low Value,Medium,0
CUST_0031,259,23.55,11,0,6,8,Low Value,Low,1
CUST_0032,1174,69.06,17,0,7,4,High Value,Low,0
CUST_0033,62,12.4,5,0,7,55,Low Value,Medium,0
CUST_0034,878,38.17,23,0,2,37,Medium Value,Medium,0
CUST_0035,45,7.5,6,0,7,76,Low Value,High,0
CUST_0036,63,12.6,5,0,5,99,Low Value,High,0
CUST_0037,860,39.09,22,1,6,53,Medium Value,Medium,1
CUST_0038,1293,68.05,19,0,4,3,High Value,Low,0
CUST_0039,46,9.2,5,0,8,88,Low Value,High,0
CUST_0040,19,6.33,3,0,5,4,Low Value,Low,0
CUST_0041,19,3.8,5,0,5,19,Low Value,Low,0
CUST_0042,810,54.0,15,0,1,72,Medium Value,High,0
CUST_0043,72,10.29,7,0,9,24,Low Value,Low,1
CUST_0044,42,10.5,4,0,10,92,Low Value,High,0
CUST_0045,1281,67.42,19,0,8,39,High Value,Medium,0
CUST_0046,493,30.81,16,0,2,29,Low Value,Low,0
CUST_0047,1661,59.32,28,0,3,2,High Value,Low,0
CUST_0048,69,13.8,5,0,7,54,Low Value,Medium,0
CUST_0049,1376,68.8,20,2,1,54,High Value,Medium,1
CUST_0050,497,31.06,16,0,3,57,Low Value,Medium,0
CUST_0051,1767,67.96,26,1,1,55,High Value,Medium,1
CUST_0052,1053,52.65,20,0,3,30,High Value,Medium,1
CUST_0053,24,4.8,5,0,3,31,Low Value,Medium,0
CUST_0054,475,29.69,16,0,7,63,Low Value,High,0
CUST_0055,1358,67.9,20,2,1,12,High Value,Low,1
CUST_0056,606,33.67,18,0,3,18,Medium Value,Low,0
CUST_0057,715,35.75,20,0,7,26,Medium Value,Low,0
CUST_0058,600,33.33,18,0,5,8,Medium Value,Low,0
CUST_0059,1046,69.73,15,0,4,29,High Value,Low,0
CUST_0060,19,4.75,4,0,7,75,Low Value,High,1
CUST_0061,11,3.67,3,0,7,0,Low Value,Low,0
CUST_0062,1236,39.87,31,2,5,19,High Value,Low,1
CUST_0063,544,32.0,17,0,4,4,Medium Value,Low,0
CUST_0064,1489,124.08,12,0,5,90,High Value,High,0
CUST_0065,1241,68.94,18,0,3,1,High Value,Low,0
CUST_0066,777,29.88,26,0,7,29,Medium Value,Low,0
CUST_0067,642,33.79,19,1,7,88,Medium Value,High,0
CUST_0068,56,8.0,7,0,2,58,Low Value,Medium,0
CUST_0069,12,4.0,3,0,6,68,Low Value,High,0
CUST_0070,1872,104.0,18,0,5,34,High Value,Medium,1
CUST_0071,2158,98.09,22,1,4,40,High Value,Medium,1
CUST_0072,9,3.0,3,0,3,12,Low Value,Low,0
CUST_0073,641,33.74,19,1,8,9,Medium Value,Low,1
CUST_0074,148,18.5,8,0,8,87,Low Value,High,0
CUST_0075,12,4.0,3,0,7,5,Low Value,Low,0
CUST_0076,56,9.33,6,0,7,87,Low Value,High,0
CUST_0077,229,22.9,10,0,3,56,Low Value,Medium,0
CUST_0078,702,27.0,26,0,1,18,Medium Value,Low,0
CUST_0079,53,10.6,5,0,7,95,Low Value,High,0
CUST_0080,146,18.25,8,1,7,48,Low Value,Medium,0
CUST_0081,338,26.0,13,2,7,3,Low Value,Low,1
CUST_0082,1221,67.83,18,1,2,70,High Value,High,0
CUST_0083,187,20.78,9,0,2,79,Low Value,High,0
CUST_0084,28,7.0,4,0,7,69,Low Value,High,0
CUST_0085,43,6.14,7,0,5,84,Low Value,High,0
CUST_0086,36,7.2,5,0,6,30,Low Value,Medium,0
CUST_0087,531,31.24,17,1,6,72,Medium Value,High,0
CUST_0088,61,12.2,5,0,7,37,Low Value,Medium,0
CUST_0089,755,31.46,24,1,2,44,Medium Value,Medium,0
CUST_0090,399,28.5,14,0,5,32,Low Value,Medium,0
CUST_0091,62,12.4,5,0,8,0,Low Value,Low,0
CUST_0092,50,10.0,5,0,6,43,Low Value,Medium,0
CUST_0093,1058,42.32,25,0,5,59,High Value,Medium,0
CUST_0094,1039,69.27,15,0,4,68,High Value,High,0
CUST_0095,1059,55.74,19,0,1,35,High Value,Medium,1
CUST_0096,20,5.0,4,0,5,94,Low Value,High,0
CUST_0097,180,20.0,9,0,7,15,Low Value,Low,0
CUST_0098,845,38.41,22,0,6,56,Medium Value,Medium,0
CUST_0099,118,16.86,7,0,7,17,Low Value,Low,0
CUST_0100,807,62.08,13,0,2,18,Medium Value,Low,0
CUST_0101,890,38.7,23,0,3,46,Medium Value,Medium,0
CUST_0102,1734,108.38,16,1,9,40,High Value,Medium,1
CUST_0103,548,32.24,17,1,6,27,Medium Value,Low,0
CUST_0104,708,29.5,24,2,3,95,Medium Value,High,1
CUST_0105,479,29.94,16,0,7,19,Low Value,Low,0
CUST_0106,87,14.5,6,0,6,27,Low Value,Low,0
CUST_0107,1691,112.73,15,2,1,25,High Value,Low,0
CUST_0108,457,30.47,15,0,9,74,Low Value,High,0
CUST_0109,51,10.2,5,0,5,85,Low Value,High,0
CUST_0110,30,6.0,5,0,6,37,Low Value,Medium,0
CUST_0111,612,34.0,18,0,4,65,Medium Value,High,0
CUST_0112,70,11.67,6,0,5,13,Low Value,Low,1
CUST_0113,23,5.75,4,0,7,63,Low Value,High,0
CUST_0114,41,10.25,4,0,7,83,Low Value,High,0
CUST_0115,967,35.81,27,3,2,69,Medium Value,High,1
CUST_0116,387,27.64,14,0,1,87,Low Value,High,0
CUST_0117,1707,113.8,15,0,1,37,High Value,Medium,1
CUST_0118,86,14.33,6,0,6,51,Low Value,Medium,0
CUST_0119,649,34.16,19,0,4,72,Medium Value,High,0
CUST_0120,405,28.93,14,0,5,10,Low Value,Low,0
CUST_0121,591,32.83,18,0,8,42,Medium Value,Medium,0
CUST_0122,595,33.06,18,0,4,10,Medium Value,Low,0
CUST_0123,256,23.27,11,0,8,51,Low Value,Medium,0
CUST_0124,1482,67.36,22,1,3,21,High Value,Low,0
CUST_0125,20,5.0,4,0,8,31,Low Value,Medium,0
CUST_0126,90,15.0,6,0,8,61,Low Value,High,0
CUST_0127,29,7.25,4,1,5,37,Low Value,Medium,1
CUST_0128,34,6.8,5,0,7,74,Low Value,High,0
CUST_0129,2057,97.95,21,0,2,46,High Value,Medium,0
CUST_0130,1003,66.87,15,0,7,4,High Value,Low,1
CUST_0131,1259,57.23,22,0,2,73,High Value,High,0
CUST_0132,838,38.09,22,0,6,47,Medium Value,Medium,0
CUST_0133,196,21.78,9,0,7,13,Low Value,Low,0
CUST_0134,828,69.0,12,0,8,36,Medium Value,Medium,0
CUST_0135,52,10.4,5,0,6,47,Low Value,Medium,1
CUST_0136,18,6.0,3,0,8,49,Low Value,Medium,0
CUST_0137,179,19.89,9,0,8,94,Low Value,High,0
CUST_0138,119,17.0,7,0,3,65,Low Value,High,0
CUST_0139,446,29.73,15,0,3,59,Low Value,Medium,0
CUST_0140,447,29.8,15,1,6,96,Low Value,High,0
CUST_0141,338,26.0,13,0,7,28,Low Value,Low,0
CUST_0142,69,9.86,7,0,6,12,Low Value,Low,0
CUST_0143,945,39.38,24,0,5,57,Medium Value,Medium,0
CUST_0144,1339,66.95,20,2,4,10,High Value,Low,1
CUST_0145,303,25.25,12,0,7,4,Low Value,Low,0
CUST_0146,18,6.0,3,0,4,49,Low Value,Medium,0
CUST_0147,148,18.5,8,0,2,3,Low Value,Low,0
CUST_0148,1174,69.06,17,0,1,64,High Value,High,0
CUST_0149,8,2.67,3,0,7,0,Low Value,Low,0
CUST_0150,1673,66.92,25,0,6,20,High Value,Low,0
CUST_0151,116,16.57,7,0,8,91,Low Value,High,0
CUST_0152,1281,67.42,19,0,2,9,High Value,Low,0
CUST_0153,60,10.0,6,0,6,83,Low Value,High,0
CUST_0154,394,23.18,17,1,3,27,Low Value,Low,0
CUST_0155,257,23.36,11,1,4,63,Low Value,High,0
CUST_0156,993,70.93,14,0,1,46,Medium Value,Medium,0
CUST_0157,69,11.5,6,0,5,84,Low Value,High,0
CUST_0158,29,7.25,4,0,7,58,Low Value,Medium,0
CUST_0159,41,8.2,5,0,8,78,Low Value,High,0
CUST_0160,121,17.29,7,0,6,4,Low Value,Low,0
CUST_0161,87,14.5,6,0,5,17,Low Value,Low,0
CUST_0162,71,11.83,6,1,4,77,Low Value,High,0
CUST_0163,1809,67.0,27,0,5,56,High Value,Medium,0
CUST_0164,1207,50.29,24,2,4,79,High Value,High,1
CUST_0165,43,8.6,5,0,7,90,Low Value,High,0
CUST_0166,9,3.0,3,0,2,96,Low Value,High,0
CUST_0167,755,31.46,24,1,2,44,Medium Value,Medium,0
CUST_0168,184,20.44,9,0,5,81,Low Value,High,0
CUST_0169,48,8.0,6,0,6,77,Low Value,High,0
CUST_0170,892,38.78,23,0,2,21,Medium Value,Low,0
CUST_0171,54,10.8,5,0,6,16,Low Value,Low,0
CUST_0172,33,6.6,5,0,6,80,Low Value,High,0
CUST_0173,43,10.75,4,0,9,45,Low Value,Medium,0
CUST_0174,37,7.4,5,0,5,63,Low Value,High,0
CUST_0175,491,30.69,16,0,5,34,Low Value,Medium,0
CUST_0176,1566,68.09,23,0,2,14,High Value,Low,0
CUST_0177,64,12.8,5,0,7,13,Low Value,Low,0
CUST_0178,44,11.0,4,1,6,52,Low Value,Medium,0
CUST_0179,1180,43.7,27,0,3,98,High Value,High,0
CUST_0180,69,11.5,6,0,8,93,Low Value,High,0
CUST_0181,303,25.25,12,0,6,38,Low Value,Medium,0
CUST_0182,24,6.0,4,0,8,24,Low Value,Low,0
CUST_0183,826,37.55,22,0,3,80,Medium Value,High,0
CUST_0184,1549,96.81,16,1,2,82,High Value,High,0
CUST_0185,1098,68.62,16,0,2,20,High Value,Low,0
CUST_0186,184,20.44,9,1,8,81,Low Value,High,1
CUST_0187,496,31.0,16,1,5,50,Low Value,Medium,0
CUST_0188,1203,70.76,17,0,1,60,High Value,High,0
CUST_0189,1096,42.15,26,0,6,63,High Value,High,0
CUST_0190,1182,45.46,26,3,4,54,High Value,Medium,1
CUST_0191,35,8.75,4,0,7,72,Low Value,High,0
CUST_0192,20,6.67,3,1,6,5,Low Value,Low,1
CUST_0193,39,9.75,4,1,9,88,Low Value,High,0
CUST_0194,272,24.73,11,0,6,50,Low Value,Medium,0
CUST_0195,61,12.2,5,0,6,99,Low Value,High,0
CUST_0196,1612,67.17,24,1,8,17,High Value,Low,1
CUST_0197,233,23.3,10,0,4,11,Low Value,Low,0
CUST_0198,1089,57.32,19,0,1,18,High Value,Low,0
CUST_0199,254,23.09,11,0,8,70,Low Value,High,0
CUST_0200,497,31.06,16,0,7,21,Low Value,Low,0
CUST_0201,1144,71.5,16,0,1,66,High Value,High,0
CUST_0202,393,28.07,14,0,8,79,Low Value,High,0
CUST_0203,16,5.33,3,0,8,2,Low Value,Low,0
CUST_0204,1599,66.62,24,2,3,81,High Value,High,0
CUST_0205,219,21.9,10,0,7,24,Low Value,Low,0
CUST_0206,1092,42.0,26,0,6,48,High Value,Medium,0
CUST_0207,96,16.0,6,0,3,93,Low Value,High,0
CUST_0208,1037,69.13,15,0,1,56,High Value,Medium,0
CUST_0209,700,35.0,20,0,3,3,Medium Value,Low,0
CUST_0210,182,20.22,9,0,8,44,Low Value,Medium,0
CUST_0211,1153,42.7,27,0,6,38,High Value,Medium,0
CUST_0212,150,18.75,8,0,8,46,Low Value,Medium,0
CUST_0213,394,28.14,14,0,8,84,Low Value,High,0
CUST_0214,1011,67.4,15,0,8,27,High Value,Low,0
CUST_0215,1736,108.5,16,0,2,72,High Value,High,0
CUST_0216,17,5.67,3,0,8,66,Low Value,High,0
CUST_0217,394,28.14,14,0,7,30,Low Value,Medium,1
CUST_0218,1561,120.08,13,1,7,2,High Value,Low,0
CUST_0219,19,6.33,3,0,8,65,Low Value,High,0
CUST_0220,15,3.75,4,0,3,37,Low Value,Medium,0
CUST_0221,1085,41.73,26,0,5,89,High Value,High,0
CUST_0222,48,8.0,6,0,6,49,Low Value,Medium,0
CUST_0223,22,5.5,4,0,7,46,Low Value,Medium,0
CUST_0224,594,33.0,18,0,3,32,Medium Value,Medium,0
